emp_id,email,emp_name,designation
JMD145,JMD145@jmangroup.com,Stephanie Hammes,SR_SOFTWARE_ENGINEER
JMD146,JMD146@jmangroup.com,Phyllis Sauer,SOLUTION_ENABLER
JMD147,JMD147@jmangroup.com,Leona Krajcik,SOLUTION_CONSULTANT
JMD148,JMD148@jmangroup.com,Rene Keebler,TECHNOLOGY_SOLUTION_ARCHITECT
JMD149,JMD149@jmangroup.com,Dr. Fernando Lynch,PRINCIPAL_SOLUTION_ARCHITECT
JMD150,JMD150@jmangroup.com,Dr. William Bode,SOFTWARE_ENGINEER
JMD151,JMD151@jmangroup.com,Marilyn Stokes,SR_SOFTWARE_ENGINEER
JMD152,JMD152@jmangroup.com,Patty Wolff,SOLUTION_ENABLER
JMD153,JMD153@jmangroup.com,Amelia Klein,SOLUTION_CONSULTANT
JMD154,JMD154@jmangroup.com,Lois Fritsch,TECHNOLOGY_SOLUTION_ARCHITECT
JMD155,JMD155@jmangroup.com,John Jacobson-Braun,PRINCIPAL_SOLUTION_ARCHITECT
JMD156,JMD156@jmangroup.com,Jeremiah Hickle,SOFTWARE_ENGINEER
JMD157,JMD157@jmangroup.com,Oscar Von,SR_SOFTWARE_ENGINEER
JMD158,JMD158@jmangroup.com,Dr. Joan Keebler,SOLUTION_ENABLER
JMD159,JMD159@jmangroup.com,Hilda Denesik,SOLUTION_CONSULTANT
JMD160,JMD160@jmangroup.com,Arnold Pouros,TECHNOLOGY_SOLUTION_ARCHITECT
JMD161,JMD161@jmangroup.com,Amber Zemlak,PRINCIPAL_SOLUTION_ARCHITECT
JMD162,JMD162@jmangroup.com,Wayne Bashirian,SOFTWARE_ENGINEER
JMD163,JMD163@jmangroup.com,Emily Prohaska,SR_SOFTWARE_ENGINEER
JMD164,JMD164@jmangroup.com,Lindsey Grimes MD,SOLUTION_ENABLER
JMD165,JMD165@jmangroup.com,Alton Orn,SOLUTION_CONSULTANT
JMD166,JMD166@jmangroup.com,James Bechtelar,TECHNOLOGY_SOLUTION_ARCHITECT
JMD167,JMD167@jmangroup.com,Dianna Moen,PRINCIPAL_SOLUTION_ARCHITECT
JMD168,JMD168@jmangroup.com,Neil Marks,SOFTWARE_ENGINEER
JMD169,JMD169@jmangroup.com,Casey Jaskolski,SR_SOFTWARE_ENGINEER
JMD170,JMD170@jmangroup.com,Andres Witting,SOLUTION_ENABLER
JMD171,JMD171@jmangroup.com,Tami Fadel,SOLUTION_CONSULTANT
JMD172,JMD172@jmangroup.com,Lela Rolfson-Toy III,TECHNOLOGY_SOLUTION_ARCHITECT
JMD173,JMD173@jmangroup.com,Alexander Shields-Klocko,PRINCIPAL_SOLUTION_ARCHITECT
JMD174,JMD174@jmangroup.com,Harvey Roberts,SOFTWARE_ENGINEER
JMD175,JMD175@jmangroup.com,Brett Stiedemann DDS,SR_SOFTWARE_ENGINEER
JMD176,JMD176@jmangroup.com,Tomas Paucek,SOLUTION_ENABLER
JMD177,JMD177@jmangroup.com,Dr. Marlene Ratke,SOLUTION_CONSULTANT
JMD178,JMD178@jmangroup.com,Rosalie Ledner,TECHNOLOGY_SOLUTION_ARCHITECT
JMD179,JMD179@jmangroup.com,Shelly Keeling,PRINCIPAL_SOLUTION_ARCHITECT
JMD180,JMD180@jmangroup.com,Juana Nicolas,SOFTWARE_ENGINEER
JMD181,JMD181@jmangroup.com,Merle Schroeder,SR_SOFTWARE_ENGINEER
JMD182,JMD182@jmangroup.com,Alan Schulist,SOLUTION_ENABLER
JMD183,JMD183@jmangroup.com,George Crist,SOLUTION_CONSULTANT
JMD184,JMD184@jmangroup.com,Jeffery Lynch,TECHNOLOGY_SOLUTION_ARCHITECT
JMD185,JMD185@jmangroup.com,Nick Renner,PRINCIPAL_SOLUTION_ARCHITECT
JMD186,JMD186@jmangroup.com,Ira McDermott,SOFTWARE_ENGINEER
JMD187,JMD187@jmangroup.com,Christopher Cartwright,SR_SOFTWARE_ENGINEER
JMD188,JMD188@jmangroup.com,Percy Beatty Jr.,SOLUTION_ENABLER
JMD189,JMD189@jmangroup.com,Johnathan Zieme,SOLUTION_CONSULTANT
JMD190,JMD190@jmangroup.com,Jackie Marks,TECHNOLOGY_SOLUTION_ARCHITECT
JMD191,JMD191@jmangroup.com,Jan Volkman-Wuckert,PRINCIPAL_SOLUTION_ARCHITECT
JMD192,JMD192@jmangroup.com,Maria Medhurst,SOFTWARE_ENGINEER
JMD193,JMD193@jmangroup.com,Velma Stark,SR_SOFTWARE_ENGINEER
JMD194,JMD194@jmangroup.com,Jorge Funk,SOLUTION_ENABLER
JMD195,JMD195@jmangroup.com,Lonnie Connelly,SOLUTION_CONSULTANT
JMD196,JMD196@jmangroup.com,Marcos Donnelly,TECHNOLOGY_SOLUTION_ARCHITECT
JMD197,JMD197@jmangroup.com,Noel Jaskolski,PRINCIPAL_SOLUTION_ARCHITECT
JMD198,JMD198@jmangroup.com,Johanna Rolfson Jr.,SOFTWARE_ENGINEER
JMD199,JMD199@jmangroup.com,Gloria Romaguera,SR_SOFTWARE_ENGINEER
